,Chave do item,ID do item,Chave do projeto,Prioridade,Solicitante,Responsável,Campo personalizado (Enviado para N2),Criado,Atualizado,Campo personalizado (Ambiente),Campo personalizado (Categoria),Campo personalizado (Client ID)
1150,SITE-77438,77438,SITE,Low,Agent19,Analist10,13/06/24 1:57 AM,12/06/24 5:11 PM,13/06/24 3:09 PM,Product 4,Category7,2278
1151,PLAT-35046,35046,PLAT,Low,Agent36,Analist11,12/06/24 5:06 PM,12/06/24 5:06 PM,14/06/24 3:59 PM,Product 4,Category13,359
1152,PLAT-41720,41720,PLAT,Low,Agent19,Analist0,12/06/24 5:00 PM,12/06/24 5:00 PM,27/06/24 11:42 AM,Product 4,Category0,399
1153,SITE-14958,14958,SITE,Low,Agent40,Analist10,17/06/24 8:19 AM,12/06/24 4:59 PM,17/06/24 1:00 PM,Product 4,Category7,1354
1154,PLAT-59290,59290,PLAT,Low,Agent16,Analist5,12/06/24 4:58 PM,12/06/24 4:58 PM,13/06/24 11:16 AM,Product 4,Category1,1765
1155,ROUT-81354,81354,ROUT,Low,Agent30,Analist12,13/06/24 11:16 AM,12/06/24 4:53 PM,17/06/24 8:45 AM,Product 4,Category19,632
1156,CONN-5098,5098,CONN,High,Agent76,Analist15,12/06/24 4:50 PM,12/06/24 4:50 PM,17/06/24 12:17 PM,Product 4,Category55,1678
1157,PLAT-10273,10273,PLAT,Low,Agent48,Analist14,13/06/24 10:31 AM,12/06/24 4:49 PM,13/06/24 11:50 AM,Product 4,Category36,334
1158,PLAT-75687,75687,PLAT,Low,Agent15,Analist8,19/06/24 10:00 AM,12/06/24 4:45 PM,21/06/24 12:48 PM,Product 4,Category5,1140
1159,PLAT-52564,52564,PLAT,Low,Agent48,Analist9,27/06/24 9:58 AM,12/06/24 4:40 PM,27/06/24 1:05 PM,Product 4,Category5,141
1160,ROUT-47003,47003,ROUT,Low,Agent37,Analist3,13/06/24 10:32 AM,12/06/24 4:40 PM,17/06/24 9:17 AM,Product 4,Category5,1486
1161,ROUT-19989,19989,ROUT,Low,Agent29,Analist0,12/06/24 4:44 PM,12/06/24 4:38 PM,12/06/24 5:29 PM,Product 4,Category13,2110
1162,ROUT-33679,33679,ROUT,High,Agent20,Analist11,20/06/24 10:09 AM,12/06/24 4:36 PM,24/06/24 4:14 PM,Product 4,Category17,1916
1163,DATA-59920,59920,DATA,Medium,Agent28,Analist14,14/06/24 5:20 PM,12/06/24 4:35 PM,19/06/24 11:34 AM,Product 4,Category3,779
1164,SITE-43222,43222,SITE,Low,Agent13,Analist10,12/06/24 4:32 PM,12/06/24 4:32 PM,13/06/24 3:11 PM,Product 4,Category7,1108
1165,PLAT-68761,68761,PLAT,Low,Agent36,Analist6,12/06/24 4:30 PM,12/06/24 4:30 PM,13/06/24 2:04 PM,Product 4,Category13,212
1166,PLAT-87365,87365,PLAT,Low,Agent1,Analist6,19/06/24 11:03 AM,12/06/24 4:25 PM,19/06/24 11:27 AM,Product 4,Category5,1713
1167,PLAT-61297,61297,PLAT,Low,Agent2,Analist12,12/06/24 4:21 PM,12/06/24 4:21 PM,12/06/24 4:52 PM,Product 4,Category9,27
1168,DATA-91512,91512,DATA,Low,Agent58,Analist14,13/06/24 4:59 PM,12/06/24 4:20 PM,14/06/24 1:31 PM,Product 4,Category0,1683
1169,ROUT-22727,22727,ROUT,Medium,Agent20,Analist3,12/06/24 5:02 PM,12/06/24 4:17 PM,17/06/24 10:46 AM,Product 4,Category9,83
1170,PLAT-56856,56856,PLAT,Low,Agent41,Analist9,20/06/24 8:00 AM,12/06/24 4:15 PM,20/06/24 12:27 PM,Product 4,Category65,1245
1171,PLAT-73658,73658,PLAT,High,Agent27,Analist6,12/06/24 4:14 PM,12/06/24 4:14 PM,13/06/24 9:18 AM,Product 4,Category5,1698
1172,PLAT-42513,42513,PLAT,Low,Agent48,Analist3,12/06/24 4:13 PM,12/06/24 4:13 PM,27/06/24 4:50 PM,Product 4,Category0,511
1173,PLAT-95415,95415,PLAT,Low,Agent13,Analist2,13/06/24 11:08 AM,12/06/24 4:05 PM,28/06/24 9:20 AM,Product 4,Category5,1793
1174,ROUT-89215,89215,ROUT,Low,Agent7,Analist67,12/06/24 4:43 PM,12/06/24 4:00 PM,14/06/24 9:19 AM,Product 4,Category83,1261
1175,PLAT-53735,53735,PLAT,Low,Agent1,Analist5,12/06/24 4:05 PM,12/06/24 3:56 PM,13/06/24 1:23 AM,Product 4,Category40,1735
1176,PLAT-16334,16334,PLAT,Medium,Agent22,Analist38,14/06/24 7:47 AM,12/06/24 3:55 PM,25/06/24 1:49 PM,Product 4,Category68,1636
1177,SITE-14241,14241,SITE,Low,Agent36,Analist10,12/06/24 3:52 PM,12/06/24 3:52 PM,13/06/24 12:56 PM,Product 4,Category33,836
1178,BASE-48206,48206,BASE,Low,Agent8,Analist19,14/06/24 3:17 PM,12/06/24 3:52 PM,20/06/24 3:04 PM,Product 4,Category34,160
1179,PLAT-69854,69854,PLAT,Low,Agent12,Analist2,21/06/24 10:47 AM,12/06/24 3:43 PM,21/06/24 4:33 PM,Product 4,Category1,1712
1180,ROUT-10192,10192,ROUT,Medium,Agent15,Analist12,12/06/24 3:43 PM,12/06/24 3:43 PM,17/06/24 2:08 PM,Product 4,Category4,504
1181,PLAT-18192,18192,PLAT,Low,Agent7,Analist11,14/06/24 3:43 PM,12/06/24 3:35 PM,14/06/24 4:53 PM,Product 4,Category6,2221
1182,ROUT-40043,40043,ROUT,Medium,Agent21,Analist12,12/06/24 3:26 PM,12/06/24 3:26 PM,13/06/24 9:43 AM,Product 4,Category4,778
1183,ROUT-31616,31616,ROUT,Low,Agent36,Analist12,12/06/24 3:24 PM,12/06/24 3:24 PM,13/06/24 11:24 AM,Product 4,Category19,1002
1184,PLAT-70279,70279,PLAT,Low,Agent15,Analist2,12/06/24 3:06 PM,12/06/24 3:06 PM,14/06/24 4:16 PM,Product 4,Category5,1282
1185,SITE-67369,67369,SITE,Low,Agent48,Analist10,13/06/24 4:13 PM,12/06/24 3:01 PM,19/06/24 4:51 PM,Product 4,Category0,1227
1186,PLAT-35532,35532,PLAT,Medium,Agent8,Analist5,17/06/24 10:59 AM,12/06/24 2:59 PM,20/06/24 5:03 PM,Product 4,Category20,648
1187,ROUT-37596,37596,ROUT,Low,Agent9,Analist7,17/06/24 4:10 PM,12/06/24 2:56 PM,18/06/24 8:06 AM,Product 4,Category14,263
1188,ROUT-16499,16499,ROUT,High,Agent77,Analist21,13/06/24 3:17 PM,12/06/24 2:54 PM,28/06/24 9:38 AM,Product 4,Category13,644
1189,ROUT-49228,49228,ROUT,Low,Agent78,Analist8,12/06/24 3:22 PM,12/06/24 2:49 PM,14/06/24 11:01 AM,Product 4,Category13,2057
1190,ROUT-71635,71635,ROUT,Low,Agent29,Analist12,12/06/24 2:48 PM,12/06/24 2:48 PM,27/06/24 5:24 PM,Product 4,Category19,863
1191,PLAT-86562,86562,PLAT,Low,Agent41,Analist38,20/06/24 8:03 AM,12/06/24 2:44 PM,24/06/24 8:37 AM,Product 4,Category3,1663
1192,PLAT-76329,76329,PLAT,Low,Agent16,Analist9,13/06/24 9:50 AM,12/06/24 2:40 PM,13/06/24 11:42 AM,Product 4,Category31,1381
1193,NET-19119,19119,NET,Medium,Agent79,Analist16,12/06/24 2:33 PM,12/06/24 2:33 PM,13/06/24 10:03 AM,Product 4,Category55,1553
1194,PLAT-72715,72715,PLAT,Low,Agent4,Analist11,12/06/24 2:33 PM,12/06/24 2:33 PM,12/06/24 3:26 PM,Product 4,Category44,1697
1195,ROUT-86369,86369,ROUT,Medium,Agent28,Analist68,12/06/24 2:24 PM,12/06/24 2:24 PM,27/06/24 4:10 PM,Product 4,Category16,1757
1196,ROUT-62200,62200,ROUT,Low,Agent10,Analist0,12/06/24 2:21 PM,12/06/24 2:19 PM,14/06/24 2:50 PM,Product 4,Category19,1670
1197,PLAT-72893,72893,PLAT,Low,Agent9,Analist9,13/06/24 10:13 AM,12/06/24 2:18 PM,13/06/24 10:56 AM,Product 4,Category27,2212
1198,DATA-82545,82545,DATA,Medium,Agent78,Analist14,13/06/24 2:42 PM,12/06/24 1:56 PM,27/06/24 12:30 PM,Product 4,Category4,96
1199,ROUT-47767,47767,ROUT,Low,Agent40,Analist1,12/06/24 1:56 PM,12/06/24 1:56 PM,14/06/24 8:54 AM,Product 4,Category13,911
1200,BASE-35863,35863,BASE,High,Agent80,Analist28,12/06/24 1:55 PM,12/06/24 1:55 PM,12/06/24 6:02 PM,Product 4,Category10,300
1201,PLAT-95769,95769,PLAT,Low,Agent24,Analist12,17/06/24 1:30 PM,12/06/24 1:36 PM,18/06/24 9:10 AM,Product 4,Category19,963
1202,NET-58117,58117,NET,Medium,Agent11,Analist16,12/06/24 1:32 PM,12/06/24 1:32 PM,17/06/24 9:12 AM,Product 4,Category10,1425
1203,PLAT-41915,41915,PLAT,Low,Agent21,Analist11,12/06/24 1:31 PM,12/06/24 1:31 PM,14/06/24 9:25 AM,Product 4,Category15,230
1204,ROUT-25720,25720,ROUT,High,Agent40,Analist55,12/06/24 3:42 PM,12/06/24 1:27 PM,19/06/24 8:16 AM,Product 4,Category13,2311
1205,PLAT-78530,78530,PLAT,Low,Agent24,Analist14,14/06/24 10:16 AM,12/06/24 1:19 PM,14/06/24 11:04 AM,Product 4,Category3,482
1206,SITE-71879,71879,SITE,Low,Agent20,Analist10,12/06/24 1:33 PM,12/06/24 1:18 PM,13/06/24 10:31 AM,Product 4,Category0,1577
1207,ROUT-71141,71141,ROUT,Medium,Agent40,Analist0,12/06/24 1:18 PM,12/06/24 1:16 PM,13/06/24 8:29 AM,Product 4,Category13,372
1208,ROUT-23050,23050,ROUT,Medium,Agent10,Analist18,12/06/24 12:35 PM,12/06/24 12:35 PM,21/06/24 4:56 PM,Product 4,Category0,20
1209,ROUT-91568,91568,ROUT,Low,Agent36,Analist12,12/06/24 12:32 PM,12/06/24 12:32 PM,17/06/24 9:34 AM,Product 4,Category41,2053
1210,PLAT-36842,36842,PLAT,Medium,Agent38,Analist8,12/06/24 5:57 PM,12/06/24 12:28 PM,14/06/24 9:50 AM,Product 4,Category5,259
1211,NET-31886,31886,NET,Medium,Agent22,Analist69,12/06/24 12:28 PM,12/06/24 12:28 PM,19/06/24 2:54 PM,Product 4,Category10,152
1212,ROUT-69384,69384,ROUT,High,Agent27,Analist12,12/06/24 1:57 PM,12/06/24 12:22 PM,13/06/24 9:25 AM,Product 4,Category4,1325
1213,PLAT-73004,73004,PLAT,High,Agent12,Analist2,18/06/24 10:35 AM,12/06/24 12:08 PM,18/06/24 11:04 AM,Product 4,Category5,579
1214,PLAT-97048,97048,PLAT,Low,Agent29,Analist9,12/06/24 1:49 PM,12/06/24 12:03 PM,13/06/24 2:23 PM,Product 4,Category71,282
1215,ROUT-21881,21881,ROUT,Low,Agent2,Analist12,13/06/24 9:57 AM,12/06/24 12:01 PM,18/06/24 4:37 PM,Product 4,Category16,1513
1216,ROUT-10250,10250,ROUT,Low,Agent10,Analist1,12/06/24 12:16 PM,12/06/24 11:59 AM,14/06/24 9:36 AM,Product 4,Category13,1583
1217,ROUT-69522,69522,ROUT,Low,Agent9,Analist6,12/06/24 11:49 AM,12/06/24 11:49 AM,18/06/24 4:22 PM,Product 4,Category88,217
1218,ROUT-92863,92863,ROUT,High,Agent27,Analist12,12/06/24 2:24 PM,12/06/24 11:48 AM,13/06/24 3:54 PM,Product 4,Category4,2129
1219,PLAT-47185,47185,PLAT,Low,Agent4,Analist5,12/06/24 11:35 AM,12/06/24 11:35 AM,26/06/24 1:38 PM,Product 4,Category45,350
1220,BASE-80207,80207,BASE,Medium,Agent11,Analist3,12/06/24 11:31 AM,12/06/24 11:31 AM,14/06/24 9:01 AM,Product 4,Category10,1244
1221,ROUT-97461,97461,ROUT,High,Agent27,Analist0,12/06/24 11:28 AM,12/06/24 11:28 AM,13/06/24 5:10 PM,Product 4,Category15,859
1222,ROUT-46818,46818,ROUT,Low,Agent24,Analist6,12/06/24 11:27 AM,12/06/24 11:27 AM,17/06/24 8:53 AM,Product 4,Category13,1749
1223,ROUT-62170,62170,ROUT,High,Agent27,Analist1,12/06/24 11:22 AM,12/06/24 11:22 AM,13/06/24 3:48 PM,Product 4,Category15,756
1224,PLAT-87280,87280,PLAT,Lowest,Agent10,Analist5,12/06/24 11:13 AM,12/06/24 11:13 AM,14/06/24 8:42 AM,Product 4,Category36,2066
1225,PLAT-95452,95452,PLAT,Low,Agent15,Analist11,20/06/24 10:03 AM,12/06/24 11:12 AM,20/06/24 12:25 PM,Product 4,Category12,210
1226,ROUT-51177,51177,ROUT,Low,Agent24,Analist12,12/06/24 11:07 AM,12/06/24 11:07 AM,13/06/24 8:39 AM,Product 4,Category16,1154
1227,ROUT-49490,49490,ROUT,Low,Agent18,Analist6,18/06/24 12:58 PM,12/06/24 11:00 AM,19/06/24 3:03 PM,Product 4,Category5,2235
1228,ROUT-08535,08535,ROUT,High,Agent22,Analist30,12/06/24 10:53 AM,12/06/24 10:53 AM,12/06/24 12:48 PM,Product 4,Category29,2072
1229,CONN-2272,2272,CONN,High,Agent27,Analist15,14/06/24 4:22 PM,12/06/24 10:51 AM,20/06/24 6:23 PM,Product 4,Category23,1422
1230,PLAT-40024,40024,PLAT,Low,Agent26,Analist12,12/06/24 10:45 AM,12/06/24 10:45 AM,24/06/24 3:38 PM,Product 4,Category4,162
1231,NET-07558,07558,NET,Medium,Agent11,Analist51,18/06/24 3:00 PM,12/06/24 10:44 AM,21/06/24 4:35 PM,Product 4,Category10,634
1232,ROUT-90966,90966,ROUT,Low,Agent21,Analist8,12/06/24 10:41 AM,12/06/24 10:41 AM,26/06/24 1:52 PM,Product 4,Category13,723
1233,PLAT-11027,11027,PLAT,Low,Agent10,Analist0,12/06/24 10:36 AM,12/06/24 10:36 AM,13/06/24 12:54 PM,Product 4,Category13,184
1234,ROUT-14026,14026,ROUT,High,Agent2,Analist30,12/06/24 10:30 AM,12/06/24 10:26 AM,14/06/24 5:09 PM,Product 4,Category0,1965
1235,NET-52567,52567,NET,High,Agent27,Analist17,12/06/24 10:26 AM,12/06/24 10:26 AM,14/06/24 3:08 PM,Product 4,Category23,2165
1236,ROUT-82807,82807,ROUT,Highest,Agent7,Analist18,12/06/24 10:38 AM,12/06/24 10:22 AM,26/06/24 3:47 PM,Product 4,Category16,2237
1237,PLAT-61667,61667,PLAT,Low,Agent10,Analist5,12/06/24 10:12 AM,12/06/24 10:12 AM,12/06/24 4:49 PM,Product 4,Category0,796
1238,SITE-27104,27104,SITE,Medium,Agent81,Analist10,,12/06/24 10:10 AM,12/06/24 10:49 AM,Product 4,Category20,488
1239,ROUT-72029,72029,ROUT,High,Agent26,Analist30,12/06/24 10:02 AM,12/06/24 10:02 AM,14/06/24 5:15 PM,Product 4,Category13,2151
1240,NET-54507,54507,NET,Medium,Agent64,Analist16,12/06/24 9:38 AM,12/06/24 9:38 AM,12/06/24 1:20 PM,Product 4,Category10,1444
1241,BASE-34161,34161,BASE,Medium,Agent50,Analist32,12/06/24 9:26 AM,12/06/24 9:26 AM,18/06/24 7:42 AM,Product 4,Category57,1470
1242,PLAT-19186,19186,PLAT,Low,Agent30,Analist12,12/06/24 9:23 AM,12/06/24 9:21 AM,12/06/24 3:09 PM,Product 4,Category7,1008
1243,BASE-58380,58380,BASE,Medium,Agent50,Analist32,12/06/24 8:51 AM,12/06/24 8:51 AM,28/06/24 9:19 AM,Product 4,Category57,1157
1244,PLAT-20256,20256,PLAT,Low,Agent24,Analist27,12/06/24 8:39 AM,12/06/24 8:39 AM,17/06/24 8:42 AM,Product 4,Category27,1085
1245,PLAT-90585,90585,PLAT,Low,Agent45,Analist2,17/06/24 10:05 AM,12/06/24 5:56 AM,18/06/24 3:41 PM,Product 4,Category11,783
1246,PLAT-90394,90394,PLAT,Medium,Agent45,Analist6,12/06/24 11:23 AM,12/06/24 1:24 AM,12/06/24 11:28 AM,Product 4,Category5,1048
1247,DATA-51953,51953,DATA,Low,Agent45,Analist24,12/06/24 2:18 PM,12/06/24 12:16 AM,25/06/24 3:54 PM,Product 4,Category22,822
1248,PLAT-84398,84398,PLAT,Low,Agent68,Analist2,19/06/24 2:32 PM,11/06/24 11:05 PM,19/06/24 2:50 PM,Product 4,Category27,391
1249,SITE-77023,77023,SITE,Low,Agent3,Analist10,11/06/24 10:26 PM,11/06/24 10:26 PM,13/06/24 8:47 PM,Product 4,Category9,2068
1250,PLAT-32121,32121,PLAT,Low,Agent0,Analist14,19/06/24 10:47 PM,11/06/24 9:27 PM,20/06/24 10:06 AM,Product 4,Category3,1574
1251,ROUT-68756,68756,ROUT,Low,Agent35,Analist1,11/06/24 8:52 PM,11/06/24 8:52 PM,16/06/24 2:33 PM,Product 4,Category0,1325
1252,ROUT-47679,47679,ROUT,Medium,Agent34,Analist67,12/06/24 4:06 PM,11/06/24 8:47 PM,28/06/24 9:26 AM,Product 4,Category6,97
1253,NET-18910,18910,NET,Low,Agent34,Analist6,12/06/24 3:50 PM,11/06/24 8:09 PM,12/06/24 5:54 PM,Product 4,Category23,1833
1254,PLAT-94513,94513,PLAT,Low,Agent3,Analist11,13/06/24 1:43 PM,11/06/24 7:05 PM,14/06/24 8:38 AM,Product 4,Category17,1816
1255,ROUT-64811,64811,ROUT,Low,Agent34,Analist2,18/06/24 2:34 PM,11/06/24 7:03 PM,20/06/24 9:58 AM,Product 4,Category19,2288
1256,ROUT-72151,72151,ROUT,Low,Agent2,Analist0,11/06/24 6:48 PM,11/06/24 6:48 PM,12/06/24 3:08 PM,Product 4,Category33,41
1257,PLAT-64397,64397,PLAT,High,Agent3,Analist2,12/06/24 4:02 PM,11/06/24 6:46 PM,20/06/24 4:59 PM,Product 4,Category5,201
1258,PLAT-58234,58234,PLAT,Low,Agent3,Analist8,27/06/24 4:25 PM,11/06/24 6:29 PM,27/06/24 5:02 PM,Product 4,Category5,988
1259,PLAT-37683,37683,PLAT,Low,Agent9,Analist14,13/06/24 6:22 PM,11/06/24 6:15 PM,14/06/24 3:58 PM,Product 4,Category27,1536
1260,SITE-25459,25459,SITE,Low,Agent11,Analist10,11/06/24 6:13 PM,11/06/24 6:13 PM,21/06/24 2:20 PM,Product 4,Category7,199
1261,ROUT-56526,56526,ROUT,Low,Agent34,Analist70,12/06/24 3:24 PM,11/06/24 6:06 PM,19/06/24 1:47 PM,Product 4,Category6,1346
1262,SITE-29495,29495,SITE,Medium,Agent11,Analist10,12/06/24 9:29 AM,11/06/24 5:54 PM,13/06/24 9:17 AM,Product 4,Category7,1943
1263,PLAT-27219,27219,PLAT,Low,Agent36,Analist8,11/06/24 5:47 PM,11/06/24 5:47 PM,20/06/24 9:55 PM,Product 4,Category2,1408
1264,SITE-10474,10474,SITE,Medium,Agent11,Analist10,11/06/24 5:46 PM,11/06/24 5:46 PM,17/06/24 8:25 AM,Product 4,Category45,1945
1265,PLAT-19783,19783,PLAT,Low,Agent29,Analist0,21/06/24 11:01 AM,11/06/24 5:46 PM,21/06/24 11:43 AM,Product 4,Category1,1277
1266,ROUT-43374,43374,ROUT,Medium,Agent38,Analist1,12/06/24 4:07 PM,11/06/24 5:43 PM,13/06/24 3:57 PM,Product 4,Category14,121
1267,PLAT-90469,90469,PLAT,Low,Agent12,Analist6,21/06/24 10:50 AM,11/06/24 5:39 PM,21/06/24 10:59 AM,Product 4,Category5,271
1268,PLAT-31138,31138,PLAT,Low,Agent37,Analist5,14/06/24 12:22 PM,11/06/24 5:38 PM,14/06/24 2:10 PM,Product 4,Category27,2022
1269,ROUT-21924,21924,ROUT,Medium,Agent26,Analist0,11/06/24 5:36 PM,11/06/24 5:36 PM,12/06/24 3:02 PM,Product 4,Category6,1451
1270,PLAT-77491,77491,PLAT,Low,Agent29,Analist6,16/06/24 10:04 AM,11/06/24 5:29 PM,17/06/24 6:13 PM,Product 4,Category29,330
1271,NET-97493,97493,NET,Low,Agent36,Analist5,11/06/24 5:25 PM,11/06/24 5:25 PM,12/06/24 8:32 AM,Product 4,Category65,1170
1272,DATA-08322,08322,DATA,Low,Agent5,Analist65,11/06/24 5:21 PM,11/06/24 5:21 PM,27/06/24 11:03 AM,Product 4,Category52,1598
1273,DATA-19537,19537,DATA,Low,Agent37,Analist14,13/06/24 3:23 PM,11/06/24 5:18 PM,14/06/24 9:42 AM,Product 4,Category7,1968
1274,BASE-99968,99968,BASE,Medium,Agent11,Analist19,14/06/24 5:34 PM,11/06/24 5:17 PM,27/06/24 6:19 AM,Product 4,Category12,667
1275,PLAT-23518,23518,PLAT,Low,Agent29,Analist7,16/06/24 9:56 AM,11/06/24 5:12 PM,17/06/24 8:16 AM,Product 4,Category89,1292
1276,PLAT-92618,92618,PLAT,Low,Agent48,Analist3,11/06/24 5:08 PM,11/06/24 5:08 PM,20/06/24 8:20 AM,Product 4,Category65,611
1277,PLAT-19009,19009,PLAT,Low,Agent21,Analist5,11/06/24 5:06 PM,11/06/24 5:06 PM,12/06/24 8:49 AM,Product 4,Category39,941
1278,PLAT-53700,53700,PLAT,Low,Agent29,Analist5,11/06/24 4:58 PM,11/06/24 4:58 PM,12/06/24 6:36 PM,Product 4,Category19,2160
1279,PLAT-90283,90283,PLAT,Low,Agent24,Analist9,11/06/24 4:56 PM,11/06/24 4:56 PM,12/06/24 4:46 PM,Product 4,Category5,1880
1280,DATA-51844,51844,DATA,Low,Agent41,Analist3,11/06/24 4:56 PM,11/06/24 4:56 PM,14/06/24 3:32 PM,Product 4,Category7,1708
1281,PLAT-17854,17854,PLAT,Low,Agent15,Analist2,24/06/24 8:23 AM,11/06/24 4:56 PM,24/06/24 12:17 PM,Product 4,Category5,1510
1282,PLAT-31804,31804,PLAT,Medium,Agent30,Analist2,17/06/24 10:53 AM,11/06/24 4:54 PM,18/06/24 9:33 AM,Product 4,Category11,284
1283,CONN-4682,4682,CONN,High,Agent64,Analist22,11/06/24 4:49 PM,11/06/24 4:49 PM,20/06/24 9:20 AM,Product 4,Category51,733
1284,PLAT-54530,54530,PLAT,Medium,Agent8,Analist11,17/06/24 10:29 AM,11/06/24 4:41 PM,17/06/24 10:43 AM,Product 4,Category3,2225
1285,ROUT-86692,86692,ROUT,Low,Agent19,Analist0,23/06/24 8:28 AM,11/06/24 4:40 PM,24/06/24 4:06 PM,Product 4,Category19,540
1286,BASE-48386,48386,BASE,High,Agent64,Analist33,11/06/24 4:39 PM,11/06/24 4:39 PM,14/06/24 9:37 AM,Product 4,Category10,1233
1287,PLAT-75661,75661,PLAT,Low,Agent6,Analist5,14/06/24 10:13 AM,11/06/24 4:37 PM,17/06/24 4:21 PM,Product 4,Category0,500
1288,NET-28145,28145,NET,Medium,Agent11,Analist13,11/06/24 4:27 PM,11/06/24 4:27 PM,11/06/24 5:21 PM,Product 4,Category23,2027
1289,ROUT-36812,36812,ROUT,Low,Agent19,Analist1,11/06/24 4:25 PM,11/06/24 4:25 PM,13/06/24 9:23 AM,Product 4,Category0,1625
1290,PLAT-62823,62823,PLAT,Low,Agent21,Analist2,18/06/24 9:52 AM,11/06/24 4:21 PM,18/06/24 12:19 PM,Product 4,Category38,1178
1291,SITE-33265,33265,SITE,Low,Agent48,Analist10,12/06/24 9:24 AM,11/06/24 4:05 PM,12/06/24 9:25 AM,Product 4,Category35,389
1292,PLAT-33249,33249,PLAT,Low,Agent19,Analist5,12/06/24 4:20 PM,11/06/24 4:00 PM,13/06/24 12:24 PM,Product 4,Category40,1935
1293,PLAT-81889,81889,PLAT,Low,Agent6,Analist14,13/06/24 3:14 PM,11/06/24 3:58 PM,22/06/24 12:32 AM,Product 4,Category2,212
1294,ROUT-39039,39039,ROUT,Low,Agent37,Analist5,12/06/24 12:09 PM,11/06/24 3:50 PM,14/06/24 3:06 PM,Product 4,Category0,588
1295,PLAT-35330,35330,PLAT,Low,Agent31,Analist11,17/06/24 8:40 AM,11/06/24 3:48 PM,25/06/24 9:12 AM,Product 4,Category17,830
1296,PLAT-98426,98426,PLAT,Low,Agent48,Analist14,12/06/24 11:13 AM,11/06/24 3:40 PM,13/06/24 2:46 PM,Product 4,Category12,636
1297,PLAT-31220,31220,PLAT,Low,Agent15,Analist6,11/06/24 3:40 PM,11/06/24 3:40 PM,12/06/24 5:15 PM,Product 4,Category29,192
1298,PLAT-88509,88509,PLAT,Low,Agent19,Analist14,11/06/24 3:39 PM,11/06/24 3:39 PM,12/06/24 8:18 AM,Product 4,Category3,612
1299,PLAT-68587,68587,PLAT,Low,Agent6,Analist5,11/06/24 3:36 PM,11/06/24 3:30 PM,11/06/24 6:05 PM,Product 4,Category6,432
1300,PLAT-17718,17718,PLAT,Low,Agent12,Analist5,11/06/24 3:24 PM,11/06/24 3:24 PM,11/06/24 4:03 PM,Product 4,Category20,1601
1301,PLAT-02811,02811,PLAT,Medium,Agent30,Analist9,11/06/24 3:23 PM,11/06/24 3:18 PM,12/06/24 12:05 PM,Product 4,Category64,2337
1302,PLAT-79435,79435,PLAT,Medium,Agent30,Analist14,11/06/24 3:16 PM,11/06/24 3:16 PM,15/06/24 2:04 AM,Product 4,Category64,733
1303,PLAT-38716,38716,PLAT,Low,Agent24,Analist3,11/06/24 3:13 PM,11/06/24 3:13 PM,13/06/24 9:18 AM,Product 4,Category5,1978
1304,PLAT-55435,55435,PLAT,High,Agent31,Analist6,11/06/24 3:16 PM,11/06/24 3:12 PM,24/06/24 2:16 PM,Product 4,Category5,1468
1305,PLAT-38188,38188,PLAT,Low,Agent31,Analist6,11/06/24 3:11 PM,11/06/24 3:11 PM,13/06/24 5:41 PM,Product 4,Category5,458
1306,PLAT-58820,58820,PLAT,Low,Agent15,Analist5,20/06/24 10:02 AM,11/06/24 3:03 PM,20/06/24 12:25 PM,Product 4,Category5,1712
1307,PLAT-95545,95545,PLAT,Low,Agent26,Analist8,11/06/24 2:57 PM,11/06/24 2:57 PM,14/06/24 2:23 PM,Product 4,Category7,855
1308,BASE-36159,36159,BASE,Medium,Agent82,Analist49,,11/06/24 2:54 PM,11/06/24 3:29 PM,Product 4,Category31,942
1309,ROUT-02350,02350,ROUT,Medium,Agent38,Analist4,26/06/24 4:50 PM,11/06/24 2:48 PM,26/06/24 5:31 PM,Product 4,Category19,562
1310,NET-74325,74325,NET,Low,Agent37,Analist13,11/06/24 2:47 PM,11/06/24 2:47 PM,12/06/24 5:54 PM,Product 4,Category23,1821
1311,CONN-6178,6178,CONN,High,Agent27,Analist15,11/06/24 2:44 PM,11/06/24 2:44 PM,20/06/24 2:25 PM,Product 4,Category23,1250
1312,PLAT-65460,65460,PLAT,Low,Agent16,Analist2,11/06/24 2:43 PM,11/06/24 2:43 PM,12/06/24 2:10 AM,Product 4,Category7,2313
1313,DATA-83878,83878,DATA,Medium,Agent36,Analist71,11/06/24 2:34 PM,11/06/24 2:34 PM,27/06/24 11:09 AM,Product 4,Category12,2235
1314,PLAT-00942,00942,PLAT,Low,Agent16,Analist6,19/06/24 8:31 AM,11/06/24 2:19 PM,19/06/24 9:27 AM,Product 4,Category5,396
1315,BASE-15445,15445,BASE,High,Agent72,Analist33,11/06/24 2:11 PM,11/06/24 2:11 PM,11/06/24 5:39 PM,Product 4,Category10,1246
1316,NET-34673,34673,NET,Medium,Agent22,Analist16,11/06/24 2:07 PM,11/06/24 2:07 PM,20/06/24 9:59 AM,Product 4,Category10,603
1317,PLAT-93646,93646,PLAT,Medium,Agent8,Analist2,17/06/24 11:05 AM,11/06/24 1:41 PM,17/06/24 12:57 PM,Product 4,Category87,852
1318,PLAT-57847,57847,PLAT,Low,Agent5,Analist12,14/06/24 1:02 PM,11/06/24 1:40 PM,17/06/24 2:23 PM,Product 4,Category4,138
